FAVC,FCVC,NCP,CAEC,CH2O,CALC
no,2.0,3.0,Sometimes,2.0,no
no,3.0,3.0,Sometimes,3.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Frequently
no,3.0,3.0,Sometimes,2.0,Frequently
no,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Frequently
yes,2.0,3.0,Sometimes,2.0,no
yes,3.0,3.0,Frequently,3.0,Sometimes
yes,2.0,3.0,Frequently,2.0,Sometimes
no,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Frequently
yes,3.0,1.0,Sometimes,1.0,Sometimes
no,3.0,3.0,Always,2.0,Sometimes
yes,2.0,1.0,Sometimes,1.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,no
yes,3.0,4.0,Frequently,1.0,no
no,2.0,1.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
yes,3.0,1.0,Sometimes,2.0,no
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,1.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,2.0,4.0,Frequently,2.0,no
yes,2.0,1.0,Frequently,2.0,Always
yes,2.0,4.0,Frequently,2.0,Sometimes
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Frequently
yes,1.0,4.0,Frequently,3.0,no
no,2.0,1.0,Sometimes,1.0,Sometimes
no,2.0,3.0,Sometimes,3.0,Sometimes
no,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,4.0,Frequently,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,2.0,4.0,Frequently,2.0,no
yes,1.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Sometimes,2.0,Frequently
no,1.0,3.0,no,2.0,no
no,2.0,3.0,Sometimes,1.0,no
yes,1.0,3.0,Frequently,3.0,Sometimes
yes,1.0,3.0,Frequently,3.0,Sometimes
no,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,1.0,Sometimes,2.0,no
no,3.0,3.0,no,2.0,no
no,3.0,4.0,Always,3.0,no
no,2.0,4.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,1.0,Sometimes
no,2.0,3.0,Sometimes,1.0,no
yes,3.0,1.0,Sometimes,2.0,no
yes,2.0,4.0,Sometimes,3.0,no
yes,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,no,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Frequently,1.0,no
yes,1.0,3.0,Frequently,2.0,no
yes,1.0,3.0,Always,2.0,Frequently
yes,2.0,3.0,Always,2.0,Frequently
yes,1.0,3.0,no,2.0,Frequently
no,2.0,3.0,no,3.0,Sometimes
yes,2.0,3.0,Always,2.0,no
no,3.0,3.0,no,3.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
no,2.0,3.0,Sometimes,3.0,Sometimes
yes,2.0,3.0,Frequently,3.0,Frequently
no,3.0,3.0,Sometimes,3.0,no
no,2.0,3.0,no,2.0,no
yes,2.0,3.0,Sometimes,3.0,no
yes,2.0,3.0,Sometimes,3.0,no
no,2.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Always,2.0,no
no,3.0,3.0,no,3.0,no
yes,2.0,3.0,Frequently,2.0,Sometimes
no,2.0,3.0,Sometimes,2.0,no
yes,2.0,1.0,Frequently,3.0,no
yes,2.0,3.0,Sometimes,2.0,no
yes,2.0,3.0,Frequently,2.0,no
yes,3.0,3.0,Sometimes,1.0,Frequently
no,3.0,4.0,Always,1.0,no
no,3.0,3.0,Always,2.0,Frequently
no,3.0,4.0,Frequently,3.0,Frequently
no,3.0,3.0,Always,2.0,no
yes,3.0,3.0,Sometimes,2.0,no
no,3.0,1.0,Frequently,2.0,Frequently
no,2.0,3.0,Sometimes,2.0,Sometimes
no,3.0,1.0,Frequently,1.0,Sometimes
no,3.0,1.0,Frequently,1.0,Sometimes
no,2.0,3.0,Sometimes,2.0,Frequently
yes,3.0,1.0,Sometimes,1.0,Sometimes
no,2.0,3.0,Frequently,2.0,no
yes,2.0,4.0,Frequently,2.0,Sometimes
yes,3.0,4.0,Frequently,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Always,1.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
yes,3.0,1.0,Sometimes,3.0,no
yes,3.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,1.0,Sometimes,1.0,no
yes,2.0,4.0,Frequently,2.0,Sometimes
no,2.0,1.0,Sometimes,2.0,no
yes,3.0,1.0,Frequently,2.0,Frequently
yes,3.0,3.0,Frequently,2.0,no
yes,3.0,3.0,Sometimes,1.0,no
no,2.0,3.0,Frequently,2.0,no
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,3.0,3.0,Frequently,3.0,Sometimes
yes,2.0,3.0,Frequently,2.0,no
yes,1.0,3.0,Frequently,2.0,Frequently
no,3.0,4.0,Frequently,1.0,no
yes,3.0,1.0,Sometimes,2.0,no
yes,3.0,3.0,Sometimes,1.0,no
yes,2.0,3.0,Always,2.0,Frequently
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,3.0,1.0,Sometimes,3.0,Sometimes
yes,3.0,3.0,Frequently,1.0,Sometimes
yes,3.0,3.0,Sometimes,3.0,Frequently
yes,2.0,4.0,Frequently,2.0,no
no,2.0,3.0,Sometimes,1.0,no
yes,3.0,3.0,Frequently,3.0,Frequently
yes,3.0,3.0,Always,2.0,Frequently
yes,3.0,3.0,Sometimes,1.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
yes,2.0,3.0,Sometimes,2.0,Sometimes
no,2.0,3.0,Sometimes,3.0,no
no,3.0,3.0,Always,3.0,no
yes,2.0,3.0,Frequently,2.0,no
yes,3.0,3.0,Frequently,3.0,Sometimes
yes,3.0,3.0,Always,2.0,Frequently
yes,2.0,3.0,Frequently,1.0,Frequently
yes,3.0,1.0,Sometimes,1.0,Sometimes
no,2.0,4.0,Sometimes,3.0,Sometimes
yes,2.0,1.0,no,3.0,Sometimes
no,3.0,3.0,Frequently,2.0,Frequently
no,3.0,3.0,Sometimes,1.0,Sometimes
yes,3.0,3.0,Always,2.0,Sometimes
yes,3.0,1.0,Sometimes,2.0,Sometimes
