FCVC,NCP,CH2O
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
3.0,1.0,1.0
3.0,3.0,2.0
2.0,1.0,1.0
2.0,1.0,2.0
3.0,4.0,1.0
2.0,1.0,2.0
2.0,3.0,2.0
3.0,1.0,2.0
3.0,3.0,2.0
1.0,1.0,2.0
2.0,3.0,2.0
2.0,4.0,2.0
2.0,1.0,2.0
2.0,4.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
1.0,4.0,3.0
2.0,1.0,1.0
2.0,3.0,3.0
2.0,1.0,2.0
2.0,4.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,4.0,2.0
1.0,3.0,1.0
2.0,3.0,2.0
1.0,3.0,2.0
2.0,3.0,1.0
1.0,3.0,3.0
1.0,3.0,3.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,1.0
3.0,1.0,2.0
3.0,3.0,2.0
3.0,4.0,3.0
2.0,4.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
3.0,1.0,2.0
2.0,4.0,3.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
1.0,3.0,2.0
1.0,3.0,2.0
2.0,3.0,2.0
1.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,3.0
2.0,3.0,3.0
2.0,3.0,3.0
3.0,3.0,3.0
2.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,3.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,1.0
3.0,4.0,1.0
3.0,3.0,2.0
3.0,4.0,3.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,1.0,2.0
2.0,3.0,2.0
3.0,1.0,1.0
3.0,1.0,1.0
2.0,3.0,2.0
3.0,1.0,1.0
2.0,3.0,2.0
2.0,4.0,2.0
3.0,4.0,2.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,1.0,2.0
2.0,3.0,1.0
2.0,3.0,3.0
3.0,1.0,3.0
3.0,3.0,2.0
2.0,1.0,1.0
2.0,4.0,2.0
2.0,1.0,2.0
3.0,1.0,2.0
3.0,3.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
1.0,3.0,2.0
3.0,4.0,1.0
3.0,1.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,1.0,3.0
3.0,3.0,1.0
3.0,3.0,3.0
2.0,4.0,2.0
2.0,3.0,1.0
3.0,3.0,3.0
3.0,3.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,3.0
3.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,3.0
3.0,3.0,2.0
2.0,3.0,1.0
3.0,1.0,1.0
2.0,4.0,3.0
2.0,1.0,3.0
3.0,3.0,2.0
3.0,3.0,1.0
3.0,3.0,2.0
3.0,1.0,2.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
3.0,1.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
3.0,3.0,3.0
2.0,1.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,3.0
2.0,3.0,1.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,1.0
2.0,1.0,2.0
2.0,3.0,2.0
3.0,1.0,2.0
3.0,3.0,2.0
2.0,1.0,3.0
2.0,3.0,2.0
3.0,1.0,1.0
3.0,3.0,2.0
3.0,3.0,2.0
2.0,1.0,3.0
2.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,2.0
2.0,1.0,1.0
2.0,1.0,3.0
3.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,3.0
3.0,1.0,3.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,1.0,2.0
3.0,3.0,3.0
2.0,1.0,3.0
3.0,3.0,3.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,1.0
2.0,1.0,1.0
3.0,1.0,3.0
2.0,3.0,1.0
3.0,3.0,1.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,1.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,3.0
3.0,3.0,2.0
2.0,3.0,3.0
1.0,1.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,1.0,1.0
3.0,4.0,3.0
3.0,3.0,3.0
2.0,1.0,2.0
3.0,3.0,3.0
2.0,3.0,1.0
3.0,3.0,2.0
3.0,3.0,3.0
3.0,3.0,3.0
3.0,4.0,3.0
3.0,1.0,3.0
3.0,3.0,3.0
3.0,1.0,2.0
2.0,1.0,2.0
2.0,1.0,2.0
1.0,3.0,2.0
3.0,3.0,1.0
3.0,1.0,3.0
3.0,3.0,3.0
2.0,1.0,3.0
3.0,3.0,2.0
1.0,3.0,2.0
2.0,3.0,3.0
2.0,1.0,2.0
3.0,3.0,2.0
3.0,3.0,3.0
3.0,3.0,1.0
3.0,3.0,3.0
3.0,1.0,2.0
3.0,1.0,2.0
2.0,1.0,3.0
2.0,3.0,2.0
2.0,1.0,2.0
3.0,3.0,2.0
1.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,3.0
3.0,1.0,1.0
1.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,3.0
1.0,3.0,1.0
3.0,4.0,2.0
3.0,3.0,2.0
2.0,4.0,2.0
2.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,2.0
2.0,1.0,3.0
2.0,4.0,3.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,4.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,3.0,3.0
1.0,1.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,3.0
3.0,3.0,1.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,1.0,1.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,3.0
2.0,3.0,1.0
2.0,4.0,2.0
3.0,3.0,3.0
2.0,4.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
1.0,3.0,2.0
2.0,1.0,1.0
3.0,4.0,3.0
2.0,1.0,1.0
2.0,4.0,2.0
2.0,3.0,2.0
3.0,3.0,1.0
1.0,3.0,2.0
3.0,3.0,1.0
2.0,3.0,2.0
3.0,3.0,1.0
3.0,4.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
3.0,1.0,2.0
3.0,3.0,1.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,1.0,1.0
3.0,3.0,2.0
3.0,4.0,1.0
3.0,1.0,3.0
3.0,3.0,1.0
3.0,4.0,1.0
2.0,3.0,2.0
2.0,1.0,2.0
3.0,4.0,3.0
2.0,3.0,2.0
1.0,4.0,1.0
2.0,3.0,2.0
3.0,3.0,2.0
3.0,1.0,2.0
2.0,3.0,1.0
3.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,1.0
2.0,3.0,3.0
2.0,3.0,2.0
2.0,3.0,3.0
2.0,3.0,1.0
3.0,4.0,2.0
1.0,3.0,1.0
1.0,3.0,2.0
2.0,3.0,2.0
3.0,1.0,1.0
3.0,3.0,2.0
1.0,3.0,1.0
2.0,1.0,1.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,1.0,2.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,1.0,2.0
2.0,3.0,2.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,3.0,1.0
3.0,1.0,2.0
3.0,3.0,1.0
2.0,1.0,2.0
2.0,4.0,2.0
2.0,1.0,3.0
3.0,3.0,1.0
2.0,4.0,2.0
3.0,3.0,1.0
3.0,3.0,2.0
3.0,3.0,3.0
3.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,2.0
3.0,1.0,1.0
2.0,3.0,2.0
1.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,3.0
1.0,1.0,2.0
2.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,3.0
1.0,3.0,2.0
2.0,3.0,1.0
1.0,3.0,2.0
3.0,3.0,1.0
2.0,4.0,3.0
3.0,1.0,1.0
3.0,1.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,1.0,2.0
3.0,3.0,3.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,1.0
3.0,1.0,2.0
3.0,1.0,3.0
2.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,2.0
3.0,3.0,3.0
3.0,3.0,1.0
3.0,3.0,2.0
3.0,3.0,2.0
1.0,3.0,1.0
3.0,4.0,2.0
3.0,4.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,3.0
3.0,3.0,2.0
3.0,1.0,1.0
2.0,3.0,1.0
2.0,3.0,1.0
2.0,4.0,2.0
3.0,3.0,1.0
2.0,3.0,1.0
2.0,4.0,2.0
2.0,1.0,3.0
2.0,3.0,1.0
2.0,1.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
2.0,1.0,2.0
2.0,4.0,1.0
3.0,3.0,2.0
2.0,4.0,2.0
3.0,1.0,1.0
1.0,3.0,2.0
3.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,2.0
3.0,3.0,1.0
3.0,1.0,1.0
2.0,3.0,1.0
3.0,1.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
2.0,3.0,3.0
2.0,3.0,1.0
2.0,1.0,2.0
2.0,1.0,2.0
2.0,3.0,1.0
3.0,4.0,2.0
2.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
3.0,3.0,1.0
3.0,1.0,2.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,4.0,2.0
1.0,3.0,1.0
2.0,3.0,1.0
2.0,1.0,1.0
3.0,3.0,2.0
3.0,3.0,1.0
2.0,3.0,1.0
1.0,4.0,2.0
2.0,3.0,1.0
3.0,4.0,1.0
2.0,1.0,2.0
2.0,3.0,1.0
2.0,3.0,1.0
1.0,3.0,2.0
2.0,3.0,2.0
2.0,3.0,3.0
3.0,3.0,3.0
2.0,1.0,1.0
3.0,3.0,2.0
2.0,3.0,1.0
3.0,3.0,1.0
2.0,3.0,1.0
3.0,3.0,2.0
3.0,1.0,1.0
2.0,3.0,2.0
2.0,3.0,2.0
3.0,3.0,1.152736
3.0,3.0,1.115967
3.0,3.0,2.704507
3.0,3.0,2.184707
3.0,3.0,2.406541
3.0,3.0,2.984323
3.0,3.0,2.444125
3.0,3.0,2.654702
3.0,3.0,2.825629
2.0,3.28926,2.847264
2.0,4.0,2.884033
2.450218,3.995147,2.147746
3.0,3.0,2.815293
3.0,3.0,2.593459
2.880161,3.0,1.031354
3.0,1.72626,2.444125
3.0,2.581015,2.654702
3.0,1.600812,2.651258
2.00876,1.73762,1.792022
2.596579,1.10548,1.490613
2.591439,3.0,2.074048
3.0,3.0,3.0
3.0,2.0846,2.13755
3.0,1.894384,2.456581
2.392665,1.0,1.0
3.0,1.0,1.0
3.0,2.857787,1.0
3.0,1.0,1.527036
3.0,1.0,1.322669
3.0,1.0,1.0
3.0,3.765526,1.656082
3.0,3.285167,1.569082
1.123939,4.0,1.0
3.0,3.0,2.843777
3.0,3.691226,2.650989
3.0,3.0,2.027984
3.0,3.0,2.0
3.0,3.156153,1.253803
3.0,3.0,2.0
2.0,1.07976,1.0
2.027574,1.0,1.636326
2.658112,1.0,1.298165
2.88626,3.559841,1.632004
2.714447,3.0,2.0
2.750715,3.0,2.0
2.0,3.0,2.099863
2.0,3.891994,1.86393
2.0,3.0,1.229915
1.4925,3.0,1.049134
1.0,3.240578,1.0
2.205439,3.0,1.530531
2.059138,3.904858,2.0
3.0,3.11158,2.721769
3.0,3.590039,2.7305
2.0,2.057935,2.371015
2.310423,3.558637,1.787843
2.0,2.000986,2.673835
2.823179,3.0,1.773236
2.052932,3.0,2.0
2.596364,3.0,2.0
2.767731,3.821168,2.0
2.0,3.897078,2.622638
2.0,3.092116,2.426465
2.815157,3.0,2.911187
2.737762,3.0,2.310921
3.0,3.286431,2.148146
2.568063,4.0,2.0
